iter	Passed	Remaining
0	1	123
1	2	112
2	3	102
3	3	95
4	5	95
5	6	94
6	6	92
7	7	91
8	16	164
9	17	156
10	18	149
11	19	143
12	20	137
13	21	131
14	22	125
15	23	121
16	24	117
17	24	113
18	25	109
19	26	106
20	27	104
21	28	101
22	29	98
23	30	96
24	31	93
25	31	91
26	32	88
27	35	90
28	36	88
29	37	86
30	38	85
31	39	83
32	40	81
33	41	80
34	42	79
35	43	78
36	45	77
37	50	81
38	52	81
39	53	80
40	55	79
41	55	76
42	56	75
43	57	73
44	58	71
45	59	70
46	60	68
47	62	67
48	63	66
49	65	65
50	66	63
51	67	62
52	68	60
53	69	59
54	70	58
55	72	56
56	73	55
57	74	54
58	76	52
59	77	51
60	79	50
61	81	49
62	82	48
63	83	47
64	85	45
65	99	51
66	101	49
67	102	48
68	103	46
69	105	45
70	106	43
71	108	42
72	109	40
73	111	39
74	115	38
75	119	37
76	120	36
77	126	35
78	127	34
79	129	32
80	130	30
81	131	28
82	133	27
83	134	25
84	135	23
85	138	22
86	140	21
87	142	19
88	143	17
89	144	16
90	145	14
91	147	12
92	148	11
93	149	9
94	150	7
95	153	6
96	154	4
97	156	3
98	157	1
99	158	0
